time	V(g)
0.000000000000000e+00	1.921142e+00
9.990485759703450e-01	1.921142e+00
1.000000000000000e+00	1.921142e+00
Step Information: Thresholdvoltage=1.908  (Step: 109/401)
0.000000000000000e+00	1.922142e+00
9.990485759703450e-01	1.922142e+00
1.000000000000000e+00	1.922142e+00
Step Information: Thresholdvoltage=1.909  (Step: 110/401)
0.000000000000000e+00	1.923142e+00
9.990485759703450e-01	1.923142e+00
1.000000000000000e+00	1.923142e+00
Step Information: Thresholdvoltage=1.91  (Step: 111/401)
0.000000000000000e+00	1.924142e+00
9.990485759703450e-01	1.924142e+00
1.000000000000000e+00	1.924142e+00
Step Information: Thresholdvoltage=1.911  (Step: 112/401)
0.000000000000000e+00	1.925142e+00
9.990485759703450e-01	1.925142e+00
1.000000000000000e+00	1.925142e+00
Step Information: Thresholdvoltage=1.912  (Step: 113/401)
0.000000000000000e+00	1.926142e+00
9.990485759703450e-01	1.926142e+00
1.000000000000000e+00	1.926142e+00
Step Information: Thresholdvoltage=1.913  (Step: 114/401)
0.000000000000000e+00	1.927142e+00
9.990485759703450e-01	1.927142e+00
1.000000000000000e+00	1.927142e+00
Step Information: Thresholdvoltage=1.914  (Step: 115/401)
0.000000000000000e+00	1.928142e+00
9.990485759703450e-01	1.928142e+00
1.000000000000000e+00	1.928142e+00
Step Information: Thresholdvoltage=1.915  (Step: 116/401)
0.000000000000000e+00	1.929142e+00
9.990485759703450e-01	1.929142e+00
1.000000000000000e+00	1.929142e+00
Step Information: Thresholdvoltage=1.916  (Step: 117/401)
0.000000000000000e+00	1.930142e+00
9.990485759703450e-01	1.930142e+00
1.000000000000000e+00	1.930142e+00
Step Information: Thresholdvoltage=1.917  (Step: 118/401)
0.000000000000000e+00	1.931142e+00
9.990485759703450e-01	1.931142e+00
1.000000000000000e+00	1.931142e+00
Step Information: Thresholdvoltage=1.918  (Step: 119/401)
0.000000000000000e+00	1.932142e+00
9.990485759703450e-01	1.932142e+00
1.000000000000000e+00	1.932142e+00
Step Information: Thresholdvoltage=1.919  (Step: 120/401)
0.000000000000000e+00	1.933142e+00
9.990485759703450e-01	1.933142e+00
1.000000000000000e+00	1.933142e+00
Step Information: Thresholdvoltage=1.92  (Step: 121/401)
0.000000000000000e+00	1.934142e+00
9.990485759703450e-01	1.934142e+00
1.000000000000000e+00	1.934142e+00
Step Information: Thresholdvoltage=1.921  (Step: 122/401)
0.000000000000000e+00	1.935142e+00
9.990485759703450e-01	1.935142e+00
1.000000000000000e+00	1.935142e+00
Step Information: Thresholdvoltage=1.922  (Step: 123/401)
0.000000000000000e+00	1.936142e+00
9.990485759703450e-01	1.936142e+00
1.000000000000000e+00	1.936142e+00
Step Information: Thresholdvoltage=1.923  (Step: 124/401)
0.000000000000000e+00	1.937142e+00
9.990485759703450e-01	1.937142e+00
1.000000000000000e+00	1.937142e+00
Step Information: Thresholdvoltage=1.924  (Step: 125/401)
0.000000000000000e+00	1.938142e+00
9.990485759703450e-01	1.938142e+00
1.000000000000000e+00	1.938142e+00
Step Information: Thresholdvoltage=1.925  (Step: 126/401)
0.000000000000000e+00	1.939142e+00
9.990485759703450e-01	1.939142e+00
1.000000000000000e+00	1.939142e+00
Step Information: Thresholdvoltage=1.926  (Step: 127/401)
0.000000000000000e+00	1.940142e+00
9.990485759703450e-01	1.940142e+00
1.000000000000000e+00	1.940142e+00
Step Information: Thresholdvoltage=1.927  (Step: 128/401)
0.000000000000000e+00	1.941142e+00
9.990485759703450e-01	1.941142e+00
1.000000000000000e+00	1.941142e+00
Step Information: Thresholdvoltage=1.928  (Step: 129/401)
0.000000000000000e+00	1.942142e+00
9.990485759703450e-01	1.942142e+00
1.000000000000000e+00	1.942142e+00
Step Information: Thresholdvoltage=1.929  (Step: 130/401)
0.000000000000000e+00	1.943142e+00
9.990485759703450e-01	1.943142e+00
1.000000000000000e+00	1.943142e+00
Step Information: Thresholdvoltage=1.93  (Step: 131/401)
0.000000000000000e+00	1.944142e+00
9.990485759703450e-01	1.944142e+00
1.000000000000000e+00	1.944142e+00
Step Information: Thresholdvoltage=1.931  (Step: 132/401)
0.000000000000000e+00	1.945142e+00
9.990485759703450e-01	1.945142e+00
1.000000000000000e+00	1.945142e+00
Step Information: Thresholdvoltage=1.932  (Step: 133/401)
0.000000000000000e+00	1.946142e+00
9.990485759703450e-01	1.946142e+00
1.000000000000000e+00	1.946142e+00
Step Information: Thresholdvoltage=1.933  (Step: 134/401)
0.000000000000000e+00	1.947142e+00
9.990485759703450e-01	1.947142e+00
1.000000000000000e+00	1.947142e+00
Step Information: Thresholdvoltage=1.934  (Step: 135/401)
0.000000000000000e+00	1.948142e+00
9.990485759703450e-01	1.948142e+00
1.000000000000000e+00	1.948142e+00
Step Information: Thresholdvoltage=1.935  (Step: 136/401)
0.000000000000000e+00	1.949142e+00
