Freq.	V(ref)	V(refref)
1.38038426460288e-002	(-1.64143349774721e+001dB,-4.20885956577355e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.41253754462275e-002	(-1.64154373174201e+001dB,-4.30653184935920e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.44543977074592e-002	(-1.64165913092378e+001dB,-4.40645325501288e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.47910838816820e-002	(-1.64177993584525e+001dB,-4.50867432982876e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.51356124843620e-002	(-1.64190639812121e+001dB,-4.61324666836846e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.54881661891247e-002	(-1.64203878092378e+001dB,-4.72022292798369e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.58489319246111e-002	(-1.64217735949842e+001dB,-4.82965684387254e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.62181009735892e-002	(-1.64232242170172e+001dB,-4.94160324382200e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.65958690743755e-002	(-1.64247426856141e+001dB,-5.05611806258510e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.69824365246174e-002	(-1.64263321485967e+001dB,-5.17325835583752e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.73780082874937e-002	(-1.64279958974041e+001dB,-5.29308231365400e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.77827941003891e-002	(-1.64297373734123e+001dB,-5.41564927344076e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.81970085860997e-002	(-1.64315601745105e+001dB,-5.54101973225528e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.86208713666286e-002	(-1.64334680619410e+001dB,-5.66925535843974e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.90546071796324e-002	(-1.64354649674120e+001dB,-5.80041900248942e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.94984459975804e-002	(-1.64375550004900e+001dB,-5.93457470707152e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.99526231496887e-002	(-1.64397424562816e+001dB,-6.07178771610435e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.04173794466952e-002	(-1.64420318234119e+001dB,-6.21212448280021e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.08929613085403e-002	(-1.64444277923079e+001dB,-6.35565267656938e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.13796208950222e-002	(-1.64469352637951e+001dB,-6.50244118867525e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.18776162394954e-002	(-1.64495593580139e+001dB,-6.65256013652380e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.23872113856833e-002	(-1.64523054236648e+001dB,-6.80608086646313e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.29086765276776e-002	(-1.64551790475886e+001dB,-6.96307595496071e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.34422881531991e-002	(-1.64581860646889e+001dB,-7.12361920801787e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.39883291901948e-002	(-1.64613325682021e+001dB,-7.28778565867271e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.45470891568502e-002	(-1.64646249203228e+001dB,-7.45565156243330e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.51188643150957e-002	(-1.64680697631880e+001dB,-7.62729439047423e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.57039578276885e-002	(-1.64716740302251e+001dB,-7.80279282041945e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.63026799189537e-002	(-1.64754449578671e+001dB,-7.98222672452502e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.69153480392690e-002	(-1.64793900976394e+001dB,-8.16567715506464e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.75422870333815e-002	(-1.64835173286163e+001dB,-8.35322632671049e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.81838293126444e-002	(-1.64878348702518e+001dB,-8.54495759569126e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
2.88403150312659e-002	(-1.64923512955800e+001dB,-8.74095543549794e+000°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
